Age,Gender,Parental_Edu,Income,Prev_Grade,Attendance,Study_Hrs,Motivation,Stress,Social_Media,Sleep,Final_Grade,ID,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
20,F,Bachelor's,Low,86,0.97,5.1,High,Low,1.3,7,A,19,female,group C,associate's degree,free/reduced,none,54,58,61
16,M,Master's,Low,72,0.91,4.2,Low,High,1.5,6,A,20,male,group D,high school,standard,none,66,69,63
21,F,Bachelor's,Low,73,0.91,5.7,Medium,Low,3.2,8,A,21,female,group B,some college,free/reduced,completed,65,75,70
24,F,Bachelor's,High,78,0.87,1.2,Low,High,1.9,4,C,22,male,group D,some college,standard,none,44,54,53
16,F,High School,Medium,87,0.96,5.0,Low,Medium,5.0,6,A,23,female,group C,some high school,standard,none,69,73,73
18,M,High School,Low,76,0.81,4.5,Low,Medium,1.4,7,A,24,male,group D,bachelor's degree,free/reduced,completed,74,71,80
22,M,Bachelor's,Medium,87,0.96,2.3,Medium,Medium,4.1,4,A,25,male,group A,master's degree,free/reduced,none,73,74,72
19,F,Master's,Low,89,0.95,4.6,Low,Medium,0.9,6,A,26,male,group B,some college,standard,none,69,54,55
24,M,Master's,High,94,0.8,4.6,Low,Low,2.1,8,A,27,female,group C,bachelor's degree,standard,none,67,69,75
18,F,Master's,Medium,99,0.88,3.3,Low,Low,1.6,7,A,28,male,group C,high school,standard,none,70,70,65
20,F,PhD,High,72,0.9,4.4,High,High,4.9,8,A,29,female,group D,master's degree,standard,none,62,70,75
18,M,Bachelor's,Low,80,0.77,3.2,Medium,High,0.6,4,B,30,female,group D,some college,standard,none,69,74,74
22,M,Bachelor's,High,85,0.83,2.7,High,High,3.7,4,B,31,female,group B,some college,standard,none,63,65,61
20,M,PhD,High,66,0.89,3.3,Low,Low,1.6,4,B,32,female,group E,master's degree,free/reduced,none,56,72,65
24,M,Bachelor's,Low,86,0.95,5.5,Low,High,4.2,6,A,33,male,group D,some college,standard,none,40,42,38
22,F,Bachelor's,Low,52,0.92,2.9,High,Low,1.9,7,B,34,male,group E,some college,standard,none,97,87,82
17,M,PhD,Medium,85,0.84,3.0,Low,Medium,1.3,4,A,35,male,group E,associate's degree,standard,completed,81,81,79
19,M,High School,Low,54,0.84,4.0,High,Low,3.6,8,A,36,female,group D,associate's degree,standard,none,74,81,83
24,F,Bachelor's,Medium,95,0.97,4.8,Low,Medium,1.7,7,A,37,female,group D,some high school,free/reduced,none,50,64,59
17,M,PhD,High,64,0.77,4.7,Low,High,2.7,8,A,38,female,group D,associate's degree,free/reduced,completed,75,90,88
24,M,Master's,High,98,0.75,1.1,Low,Low,1.1,8,A,39,male,group B,associate's degree,free/reduced,none,57,56,57
20,M,High School,Medium,55,0.77,4.4,Low,High,3.8,4,C,40,male,group C,associate's degree,free/reduced,none,55,61,54
17,M,Master's,Low,59,0.99,3.3,Medium,High,2.3,7,B,41,female,group C,associate's degree,standard,none,58,73,68
19,F,Bachelor's,Low,81,0.79,3.6,Medium,Medium,1.1,5,A,42,female,group B,associate's degree,standard,none,53,58,65
22,F,High School,High,72,0.81,3.8,Medium,High,3.8,6,B,43,male,group B,some college,free/reduced,completed,59,65,66
23,M,PhD,Medium,97,0.77,4.7,High,Low,1.0,5,A,44,female,group E,associate's degree,free/reduced,none,50,56,54
18,M,Bachelor's,High,66,0.78,5.2,High,High,3.1,6,A,45,male,group B,associate's degree,standard,none,65,54,57
16,F,PhD,High,95,0.91,4.2,High,Medium,3.2,7,A,46,female,group A,associate's degree,standard,completed,55,65,62
19,M,High School,Low,69,0.77,3.8,High,Medium,4.7,4,A,47,female,group C,high school,standard,none,66,71,76
17,M,Master's,Medium,93,0.97,2.9,Medium,High,1.2,7,A,48,female,group D,associate's degree,free/reduced,completed,57,74,76
23,M,Bachelor's,High,90,0.78,1.7,High,Medium,3.4,5,A,49,male,group C,high school,standard,completed,82,84,82
19,M,Bachelor's,Low,64,0.76,5.8,High,High,2.2,8,A,50,male,group E,some college,standard,none,53,55,48
17,M,PhD,High,93,0.88,3.3,High,Medium,2.3,6,A,51,male,group E,associate's degree,free/reduced,completed,77,69,68
21,M,High School,High,95,0.79,3.8,Low,High,2.8,6,A,52,male,group C,some college,standard,none,53,44,42
21,M,PhD,Low,71,0.95,4.8,High,High,1.6,5,A,53,male,group D,high school,standard,none,88,78,75
19,M,High School,Low,99,0.76,1.3,Low,Low,2.6,4,B,54,female,group C,some high school,free/reduced,completed,71,84,87
21,M,Bachelor's,Medium,55,0.89,5.3,High,Low,3.6,7,A,55,female,group C,high school,free/reduced,none,33,41,43
17,F,High School,High,53,0.85,5.0,High,High,2.6,5,B,56,female,group E,associate's degree,standard,completed,82,85,86
17,F,Bachelor's,Medium,72,0.96,4.9,Low,Low,0.7,7,A,57,male,group D,associate's degree,standard,none,52,55,49
19,F,High School,Low,93,0.84,1.1,High,Low,1.7,4,A,58,male,group D,some college,standard,completed,58,59,58
23,M,Master's,Low,94,0.94,3.6,Low,Medium,2.1,8,A,59,female,group C,some high school,free/reduced,none,0,17,10
22,M,High School,High,68,0.75,1.3,High,Low,2.1,7,B,60,male,group E,bachelor's degree,free/reduced,completed,79,74,72
24,F,Master's,Medium,94,0.93,3.8,High,Medium,0.9,4,A,61,male,group A,some high school,free/reduced,none,39,39,34
23,M,High School,Medium,80,0.88,4.6,Low,Low,2.5,5,A,62,male,group A,associate's degree,free/reduced,none,62,61,55
20,F,High School,High,93,0.99,1.6,Medium,Low,3.6,8,A,63,female,group C,associate's degree,standard,none,69,80,71
17,M,PhD,High,52,0.97,4.5,Low,High,0.7,8,A,64,female,group D,some high school,standard,none,59,58,59
20,F,PhD,Medium,77,0.96,3.2,Medium,Low,3.9,8,A,65,male,group B,some high school,standard,none,67,64,61
23,F,Bachelor's,Low,52,0.88,5.1,Low,High,4.8,6,B,66,male,group D,some high school,free/reduced,none,45,37,37
24,F,PhD,Low,63,0.75,3.7,Medium,High,0.5,4,C,67,female,group C,some college,standard,none,60,72,74
24,M,High School,High,67,0.99,2.7,High,High,1.4,7,A,68,male,group B,associate's degree,free/reduced,none,61,58,56
16,F,PhD,Medium,76,0.83,2.7,Medium,High,2.9,5,B,69,female,group C,associate's degree,standard,none,39,64,57
24,M,High School,Medium,59,0.91,5.5,High,Low,1.5,8,A,70,female,group D,some college,free/reduced,completed,58,63,73
22,M,Master's,Medium,98,0.88,3.3,Low,High,3.9,8,A,71,male,group D,some college,standard,completed,63,55,63
24,M,High School,Low,64,0.87,3.0,Medium,Low,1.9,8,A,72,female,group A,associate's degree,free/reduced,none,41,51,48
23,M,Bachelor's,Low,68,0.87,1.2,High,Low,1.8,4,C,73,male,group C,some high school,free/reduced,none,61,57,56
16,M,Master's,Medium,58,0.8,2.8,Low,Medium,0.5,5,C,74,male,group C,some high school,standard,none,49,49,41
23,M,Bachelor's,Medium,53,0.81,5.2,Medium,Medium,1.7,4,B,75,male,group B,associate's degree,free/reduced,none,44,41,38
23,M,Bachelor's,High,64,0.76,4.8,High,Medium,1.5,5,A,76,male,group E,some high school,standard,none,30,26,22
18,F,Bachelor's,High,97,0.82,2.1,Medium,High,2.0,7,A,77,male,group A,bachelor's degree,standard,completed,80,78,81
16,F,PhD,Medium,57,0.98,3.1,Medium,Low,1.2,6,B,78,female,group D,some high school,standard,completed,61,74,72
23,F,Bachelor's,Medium,98,0.8,2.0,High,Low,3.2,5,A,79,female,group E,master's degree,standard,none,62,68,68
18,M,Master's,Low,50,0.99,5.8,High,High,1.6,4,A,80,female,group B,associate's degree,standard,none,47,49,50
18,M,High School,Medium,56,0.77,4.0,Low,Medium,4.2,4,B,81,male,group B,high school,free/reduced,none,49,45,45
16,M,Bachelor's,High,80,0.92,4.8,High,Medium,1.8,4,A,82,male,group A,some college,free/reduced,completed,50,47,54
20,M,Master's,Low,67,0.92,4.6,High,Low,1.4,6,A,83,male,group E,associate's degree,standard,none,72,64,63
22,F,Bachelor's,High,61,0.96,5.4,Medium,Low,0.8,5,A,84,male,group D,high school,free/reduced,none,42,39,34
24,M,High School,High,97,0.97,5.7,High,Low,3.8,5,A,85,female,group C,some college,standard,none,73,80,82
22,F,Master's,Low,79,0.8,1.2,Medium,Medium,2.8,5,B,86,female,group C,some college,free/reduced,none,76,83,88
24,M,Master's,High,82,0.85,5.9,Medium,Low,1.0,5,A,87,female,group D,associate's degree,standard,none,71,71,74
23,F,High School,Medium,96,0.77,5.4,High,Medium,1.5,8,A,88,female,group A,some college,standard,none,58,70,67
17,M,Master's,High,56,0.9,2.9,High,Medium,5.0,8,A,89,female,group D,some high school,standard,none,73,86,82
16,F,High School,Low,77,0.79,5.2,High,Medium,4.1,4,A,90,female,group C,bachelor's degree,standard,none,65,72,74
22,M,Master's,Low,98,0.98,4.7,High,High,2.1,8,A,91,male,group C,high school,free/reduced,none,27,34,36
22,F,Master's,Low,52,0.96,5.0,Low,High,2.9,5,B,92,male,group C,high school,standard,none,71,79,71
23,M,High School,High,92,0.76,2.1,Medium,Low,2.4,5,A,93,male,group C,associate's degree,free/reduced,completed,43,45,50
20,F,High School,Medium,55,0.89,4.2,Low,Medium,0.7,8,A,94,female,group B,some college,standard,none,79,86,92
18,F,Master's,Low,80,0.9,1.1,Low,Low,4.0,7,B,95,male,group C,associate's degree,free/reduced,completed,78,81,82
23,M,Master's,Medium,87,0.81,5.2,Medium,Medium,3.7,4,A,96,male,group B,some high school,standard,completed,65,66,62
21,F,High School,Low,64,0.9,5.8,Low,Low,2.3,6,A,97,female,group E,some college,standard,completed,63,72,70
18,M,PhD,Medium,56,0.98,4.3,High,Low,4.3,4,A,98,female,group D,some college,free/reduced,none,58,67,62
16,M,High School,Medium,92,0.78,3.6,High,High,2.9,4,A,99,female,group D,bachelor's degree,standard,none,65,67,62
18,M,Master's,Medium,79,0.9,4.6,High,High,0.8,4,A,100,male,group B,some college,standard,none,79,67,67
20,F,Master's,Low,76,0.91,2.6,High,High,1.7,8,A,101,male,group D,bachelor's degree,standard,completed,68,74,74
18,F,Master's,High,66,0.76,4.1,Medium,High,2.6,4,B,102,female,group D,associate's degree,standard,none,85,91,89
16,M,High School,High,67,0.9,4.6,High,Medium,1.0,5,A,103,male,group B,high school,standard,completed,60,44,47
20,M,Master's,High,71,0.78,1.7,Medium,Low,3.1,4,C,104,male,group C,some college,standard,completed,98,86,90
22,F,PhD,Medium,75,0.81,1.7,Medium,Low,1.0,5,B,105,female,group C,some college,standard,none,58,67,72
22,F,Bachelor's,Low,76,0.92,4.6,Medium,Medium,1.4,8,A,106,female,group D,master's degree,standard,none,87,100,100
24,F,PhD,Medium,89,0.8,3.2,Medium,Medium,4.5,8,A,107,male,group E,associate's degree,standard,completed,66,63,64
18,M,High School,Low,73,0.92,5.4,Low,Low,5.0,4,A,108,female,group B,associate's degree,free/reduced,none,52,76,70
22,M,Master's,Medium,57,0.81,2.6,Low,High,3.0,5,C,109,female,group B,some high school,standard,none,70,64,72
16,M,High School,Low,70,0.76,1.2,High,High,3.3,5,C,110,female,group D,associate's degree,free/reduced,completed,77,89,98
19,M,Bachelor's,Low,78,0.93,4.2,Medium,High,4.1,5,A,111,male,group C,high school,standard,none,62,55,49
19,M,High School,Low,92,0.83,4.4,High,Medium,3.6,5,A,112,male,group A,associate's degree,standard,none,54,53,47
20,F,Master's,Medium,70,0.78,3.8,High,Low,1.3,6,A,113,female,group D,some college,standard,none,51,58,54
22,M,Bachelor's,High,52,0.88,4.4,High,Medium,2.4,8,A,114,female,group E,bachelor's degree,standard,completed,99,100,100
22,F,Bachelor's,Medium,80,0.79,3.6,High,Low,2.9,5,A,115,male,group C,high school,standard,none,84,77,74
19,F,Master's,Medium,76,0.99,4.5,Medium,High,2.1,6,A,116,female,group B,bachelor's degree,free/reduced,none,75,85,82
22,M,Master's,Low,95,0.81,1.2,Medium,High,1.3,6,B,117,female,group D,bachelor's degree,standard,none,78,82,79
18,F,Master's,Low,76,0.82,2.8,Low,High,3.8,8,A,118,female,group D,some high school,standard,none,51,63,61
21,M,High School,High,58,0.89,2.1,Medium,Low,1.4,7,B,119,female,group C,some college,standard,none,55,69,65
17,F,PhD,High,82,0.93,1.5,Medium,High,1.7,4,C,120,female,group C,bachelor's degree,standard,completed,79,92,89
24,M,High School,Low,82,0.85,2.2,High,Low,1.8,8,A,121,male,group B,associate's degree,standard,completed,91,89,92
20,M,High School,High,75,0.94,2.0,Medium,Medium,1.2,7,A,122,female,group C,some college,standard,completed,88,93,93
21,F,PhD,High,77,0.97,5.9,High,High,4.3,4,A,123,male,group D,high school,free/reduced,none,63,57,56
19,M,Master's,Low,93,0.78,2.4,Medium,Medium,3.2,4,A,124,male,group E,some college,standard,none,83,80,73
22,F,Master's,Medium,92,0.92,2.2,Low,Medium,4.3,4,A,125,female,group B,high school,standard,none,87,95,86
24,M,PhD,High,80,0.88,5.2,High,Low,2.7,6,A,126,male,group B,some high school,standard,none,72,68,67
22,M,PhD,Low,50,0.8,3.1,Medium,Medium,2.8,5,C,127,male,group D,some college,standard,completed,65,77,74
16,M,High School,High,69,0.99,3.1,Medium,Low,3.3,4,B,128,male,group D,master's degree,standard,none,82,82,74
16,F,Bachelor's,High,61,0.9,3.2,High,Low,2.2,5,B,129,female,group A,bachelor's degree,standard,none,51,49,51
24,F,PhD,Low,66,0.92,3.1,Low,Medium,2.7,4,B,130,male,group D,master's degree,standard,none,89,84,82
24,M,High School,High,64,0.75,2.6,Low,Low,3.0,6,B,131,male,group C,some high school,free/reduced,completed,53,37,40
19,F,Bachelor's,High,83,0.82,2.4,Medium,Low,4.8,4,B,132,male,group E,some college,free/reduced,completed,87,74,70
24,M,Master's,High,99,0.75,5.4,Medium,Low,4.5,8,A,133,female,group C,some college,standard,completed,75,81,84
18,F,Master's,Medium,65,0.75,1.8,Medium,Medium,1.1,7,B,134,male,group D,bachelor's degree,free/reduced,completed,74,79,75
22,F,High School,Medium,53,0.93,1.9,High,Low,0.7,4,C,135,male,group C,bachelor's degree,standard,none,58,55,48
21,M,High School,High,57,0.95,3.9,High,High,3.6,7,A,136,male,group B,some high school,standard,completed,51,54,41
23,M,PhD,Low,83,0.99,2.7,High,Medium,0.7,7,A,137,male,group E,high school,standard,none,70,55,56
24,M,Master's,High,95,0.84,3.1,Medium,Medium,0.8,6,A,138,female,group C,associate's degree,standard,none,59,66,67
20,M,High School,High,74,0.92,5.0,Low,Low,1.2,7,A,139,male,group D,some college,standard,completed,71,61,69
16,M,Master's,Medium,64,0.86,5.5,High,Medium,2.1,6,A,140,female,group D,some high school,standard,none,76,72,71
18,F,Master's,Medium,77,0.91,5.0,Low,High,2.5,4,A,141,female,group C,some college,free/reduced,none,59,62,64
23,F,PhD,Medium,58,0.75,2.2,Medium,Medium,2.8,5,C,142,female,group E,some college,free/reduced,completed,42,55,54
21,M,Bachelor's,High,51,0.82,5.9,High,Medium,5.0,6,A,143,male,group A,high school,standard,none,57,43,47
23,M,PhD,High,66,0.84,2.8,High,Medium,2.2,7,A,144,male,group D,some college,standard,none,88,73,78
24,M,High School,Low,59,0.84,1.8,High,Low,1.6,7,B,145,female,group C,some college,free/reduced,none,22,39,33
19,F,PhD,High,58,0.92,3.5,Medium,High,3.1,4,C,146,male,group B,some high school,standard,none,88,84,75
16,M,PhD,High,80,0.83,4.6,Medium,High,1.5,6,A,147,male,group C,associate's degree,free/reduced,none,73,68,66
16,M,Master's,Medium,51,0.99,1.4,Medium,High,4.7,4,D,148,female,group D,bachelor's degree,standard,completed,68,75,81
19,F,PhD,Medium,73,0.76,4.2,Low,Medium,1.7,6,A,149,male,group E,associate's degree,free/reduced,completed,100,100,93
22,F,High School,Medium,68,0.77,5.3,Low,High,5.0,5,A,150,male,group A,some high school,standard,completed,62,67,69
17,F,Bachelor's,Medium,66,0.76,2.3,High,Low,2.4,8,A,151,male,group A,bachelor's degree,standard,none,77,67,68
18,F,PhD,Medium,92,0.8,4.5,High,Medium,4.2,4,A,152,female,group B,associate's degree,standard,completed,59,70,66
16,M,PhD,Low,98,0.97,3.0,Medium,Low,3.4,7,A,153,male,group D,bachelor's degree,standard,none,54,49,47
20,F,Bachelor's,Low,59,0.86,3.1,Medium,Medium,4.7,4,C,154,male,group D,some high school,standard,none,62,67,61
16,F,High School,Low,99,0.96,2.4,Medium,Low,3.3,6,A,155,female,group C,some college,standard,completed,70,89,88
23,M,High School,Medium,77,0.93,4.1,High,Medium,3.1,4,A,156,female,group E,high school,free/reduced,completed,66,74,78
16,M,PhD,Medium,87,0.89,2.8,Medium,Low,3.4,5,A,157,male,group B,some college,free/reduced,none,60,60,60
16,M,Master's,Medium,97,0.93,5.2,Low,High,4.0,6,A,158,female,group B,associate's degree,standard,completed,61,86,87
17,F,PhD,Low,77,0.86,5.8,Low,Medium,4.5,7,A,159,male,group D,associate's degree,free/reduced,none,66,62,64
17,M,Bachelor's,Medium,99,0.92,5.7,High,Medium,1.7,7,A,160,male,group B,associate's degree,free/reduced,completed,82,78,74
21,F,Bachelor's,Low,99,0.9,1.8,High,Low,1.4,6,A,161,female,group E,some college,free/reduced,completed,75,88,85
22,F,Bachelor's,Medium,50,0.76,1.1,Low,Low,0.7,5,D,162,male,group B,master's degree,free/reduced,none,49,53,52
20,F,PhD,High,52,0.85,3.2,Medium,Low,2.2,4,C,163,male,group C,high school,standard,none,52,53,49
16,M,PhD,Low,64,0.86,4.6,High,Medium,4.3,8,A,164,female,group E,master's degree,standard,none,81,92,91
16,F,High School,High,59,0.79,5.9,High,Low,0.8,7,A,165,female,group C,bachelor's degree,standard,completed,96,100,100
18,M,Master's,Low,70,0.98,4.9,High,High,2.9,5,A,166,male,group C,high school,free/reduced,completed,53,51,51
17,M,PhD,Medium,86,0.8,3.9,Low,Low,3.6,5,A,167,female,group B,master's degree,free/reduced,completed,58,76,78
20,M,High School,Medium,64,0.99,1.1,High,Low,4.3,5,B,168,female,group B,high school,standard,completed,68,83,78
21,F,PhD,High,72,0.85,5.1,Low,Low,3.1,4,A,169,female,group C,some college,free/reduced,completed,67,75,70
22,F,High School,Medium,63,0.95,1.9,Low,High,1.3,5,C,170,male,group A,high school,standard,completed,72,73,74
19,F,High School,Low,64,0.84,1.3,Medium,Low,4.8,5,C,171,male,group E,some high school,standard,none,94,88,78
22,M,Master's,Medium,59,0.78,5.3,Medium,Low,0.9,6,A,172,female,group D,some college,standard,none,79,86,81
23,F,PhD,Medium,58,0.83,3.8,Medium,Medium,4.0,6,B,173,female,group C,associate's degree,standard,none,63,67,70
16,F,High School,Low,93,0.86,1.6,High,Medium,0.9,5,A,174,female,group C,bachelor's degree,free/reduced,completed,43,51,54
21,F,Bachelor's,High,88,0.84,2.9,Low,Low,1.1,5,A,175,female,group C,master's degree,standard,completed,81,91,87
23,F,Bachelor's,High,54,0.88,1.4,High,Medium,4.5,6,C,176,female,group B,high school,free/reduced,completed,46,54,58
20,F,Bachelor's,Medium,74,0.79,4.2,Low,Low,3.9,4,A,177,female,group C,associate's degree,standard,completed,71,77,77
19,M,Master's,Low,91,0.75,2.4,High,Low,2.1,6,A,178,female,group B,master's degree,free/reduced,completed,52,70,62
17,M,High School,High,75,0.79,5.3,Low,High,3.4,6,A,179,female,group D,some high school,standard,completed,97,100,100
21,M,Master's,High,57,0.9,2.8,Medium,Low,2.6,6,B,180,male,group C,master's degree,free/reduced,completed,62,68,75
21,M,PhD,Medium,71,0.79,3.5,Medium,Medium,0.8,6,A,181,female,group C,some college,free/reduced,none,46,64,66
16,F,PhD,Low,74,0.79,1.3,High,Medium,3.7,8,A,182,female,group E,high school,standard,none,50,50,47
24,M,High School,High,97,0.92,2.4,Low,Medium,3.9,7,A,183,female,group D,associate's degree,standard,none,65,69,70
21,F,Bachelor's,Medium,61,0.8,4.4,Medium,Medium,4.5,4,B,184,male,group C,some high school,free/reduced,completed,45,52,49
18,M,High School,Medium,58,0.95,4.7,Low,Low,2.9,4,B,185,male,group C,associate's degree,free/reduced,completed,65,67,65
19,M,High School,Medium,59,0.92,2.2,High,High,3.5,5,C,186,male,group E,high school,standard,none,80,76,65
19,M,High School,Medium,97,0.84,3.5,Medium,High,2.5,8,A,187,male,group D,some high school,standard,completed,62,66,68
18,F,Master's,High,59,0.89,5.1,High,Low,1.9,5,A,188,male,group B,some high school,free/reduced,none,48,52,45
18,F,PhD,Low,58,0.98,2.9,High,Medium,2.4,4,B,189,female,group C,bachelor's degree,standard,none,77,88,87
18,M,High School,Medium,75,0.96,1.7,Low,High,4.6,4,C,190,female,group E,associate's degree,standard,none,66,65,69
19,F,High School,Medium,84,0.85,3.2,High,High,1.2,5,A,191,male,group D,some college,standard,completed,76,83,79
22,M,High School,High,76,0.93,4.0,High,Low,1.6,7,A,192,female,group B,some high school,standard,none,62,64,66
19,M,Master's,Medium,80,0.99,1.0,Low,Medium,3.2,5,B,193,male,group D,some college,standard,completed,77,62,62
24,M,Master's,Medium,68,0.87,2.7,Low,High,1.0,7,B,194,female,group C,master's degree,standard,completed,69,84,85
16,F,Master's,Low,92,0.94,4.0,High,Low,4.5,7,A,195,male,group D,associate's degree,standard,none,61,55,52
23,M,High School,Medium,87,0.77,5.8,Medium,High,0.7,6,A,196,male,group C,some high school,free/reduced,completed,59,69,65
22,M,Bachelor's,High,55,0.9,3.0,Medium,High,3.9,4,C,197,male,group E,high school,free/reduced,none,55,56,51
17,M,Bachelor's,Low,64,0.81,1.8,Low,Medium,2.2,6,B,198,female,group B,some college,free/reduced,none,45,53,55
23,F,Bachelor's,High,78,0.86,3.7,High,Medium,0.7,4,A,199,female,group B,bachelor's degree,free/reduced,none,78,79,76
16,M,PhD,Low,96,0.89,2.4,Medium,High,4.3,6,A,200,female,group C,associate's degree,standard,completed,67,84,86
24,F,High School,Low,94,0.82,2.1,Low,Medium,3.4,7,A,201,female,group D,some college,free/reduced,none,65,81,77
24,M,Bachelor's,Medium,54,0.97,4.0,Low,High,0.5,6,B,202,male,group C,associate's degree,standard,none,69,77,69
17,F,Bachelor's,Medium,63,0.91,5.6,Low,High,1.7,8,A,203,female,group B,associate's degree,standard,none,57,69,68
22,M,Bachelor's,Medium,51,0.75,5.2,High,High,2.1,6,B,204,male,group C,some college,standard,none,59,41,42
18,M,High School,High,72,0.95,1.9,Low,Low,2.0,6,B,205,male,group D,some high school,standard,completed,74,71,78
22,F,Bachelor's,Medium,93,0.82,4.8,Medium,Medium,2.7,6,A,206,male,group E,bachelor's degree,standard,none,82,62,62
24,F,Bachelor's,Medium,95,0.88,2.1,High,Medium,2.9,8,A,207,male,group E,high school,standard,completed,81,80,76
19,M,High School,Low,68,0.84,2.5,Medium,High,2.3,4,C,208,female,group B,some college,free/reduced,none,74,81,76
16,F,PhD,Medium,73,0.93,5.6,Medium,Medium,2.0,6,A,209,female,group B,some college,free/reduced,none,58,61,66
17,M,Master's,Medium,69,0.82,5.6,Medium,High,2.8,4,A,210,male,group D,some high school,free/reduced,completed,80,79,79
16,M,Bachelor's,Medium,96,0.93,1.8,High,Medium,0.7,5,A,211,male,group C,some college,free/reduced,none,35,28,27
20,M,Master's,Medium,76,0.78,1.3,Medium,Medium,3.4,7,B,212,female,group C,high school,free/reduced,none,42,62,60
20,F,PhD,Low,73,0.84,2.5,Low,High,3.2,5,B,213,male,group C,associate's degree,free/reduced,completed,60,51,56
22,M,PhD,Medium,66,0.97,3.9,Low,Medium,1.8,8,A,214,male,group E,high school,standard,completed,87,91,81
24,F,Bachelor's,Low,74,0.77,5.4,Medium,High,1.3,8,A,215,male,group B,some high school,standard,completed,84,83,75
24,M,High School,High,95,0.78,1.6,Low,Low,0.8,4,B,216,female,group E,associate's degree,free/reduced,completed,83,86,88
18,F,PhD,Medium,80,0.9,3.1,High,High,3.1,4,A,217,female,group C,high school,free/reduced,none,34,42,39
18,F,Master's,Medium,77,0.98,2.4,High,Medium,3.1,6,A,218,male,group B,high school,free/reduced,none,66,77,70
18,M,Master's,Medium,99,0.78,1.1,Low,Low,2.9,5,A,219,male,group B,some high school,standard,completed,61,56,56
19,F,Master's,Low,77,0.99,4.9,Low,Low,4.9,4,A,220,female,group D,high school,standard,completed,56,68,74
23,M,Master's,Medium,71,0.94,5.1,High,High,2.9,4,A,221,male,group B,associate's degree,standard,none,87,85,73
21,M,PhD,Medium,54,0.94,2.1,Medium,Low,3.7,4,C,222,female,group C,some high school,free/reduced,none,55,65,62
23,M,Bachelor's,High,93,0.87,1.8,High,High,1.0,7,A,223,male,group D,some high school,standard,none,86,80,75
16,M,Bachelor's,Low,91,0.95,1.7,Medium,Medium,1.8,4,A,224,female,group B,associate's degree,standard,completed,52,66,73
23,M,Master's,Low,57,0.91,3.3,Low,High,1.7,7,B,225,female,group E,master's degree,free/reduced,none,45,56,54
19,F,Bachelor's,High,87,0.97,2.2,Low,Low,3.1,8,A,226,female,group C,some college,standard,none,72,72,71
16,M,Master's,Low,77,0.99,3.6,Medium,High,2.0,6,A,227,male,group D,high school,standard,none,57,50,54
23,F,Master's,Medium,96,0.9,2.9,Medium,High,3.4,5,A,228,male,group A,some high school,free/reduced,none,68,72,64
19,F,High School,Medium,61,0.99,2.1,High,Medium,3.6,4,B,229,female,group C,some college,standard,completed,88,95,94
21,M,PhD,High,74,0.91,4.8,Medium,High,0.7,7,A,230,male,group D,some college,standard,none,76,64,66
